,city,category,property,price,currency,min_price,max_price
146,Karlsruhe,Markets,Onion (1kg),0.89,€,0.89,2.00
147,Karlsruhe,Markets,Lettuce (1 head),1.23,€,0.90,1.50
148,Karlsruhe,Markets,Water (1.5 liter bottle),0.42,€,0.25,0.49
149,Karlsruhe,Markets,Bottle of Wine (Mid-Range),5.50,€,5.00,8.00
150,Karlsruhe,Markets,Domestic Beer (0.5 liter bottle),0.55,€,0.53,0.90
151,Karlsruhe,Markets,Imported Beer (0.33 liter bottle),1.20,€,0.75,2.00
152,Karlsruhe,Markets,Cigarettes 20 Pack (Marlboro),7.10,€,7.00,7.50
154,Karlsruhe,Transportation,One-way Ticket (Local Transport),2.80,€,2.60,3.50
155,Karlsruhe,Transportation,Monthly Pass (Regular Price),68.00,€,62.00,80.00
156,Karlsruhe,Transportation,Taxi Start (Normal Tariff),3.50,€,3.50,3.50
157,Karlsruhe,Transportation,Taxi 1km (Normal Tariff),2.20,€,2.00,2.20
158,Karlsruhe,Transportation,Taxi 1hour Waiting (Normal Tariff),30.00,€,30.00,40.20
159,Karlsruhe,Transportation,Gasoline (1 liter),2.05,€,1.74,2.20
160,Karlsruhe,Transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"23,000.00",€,"20,000.00","25,000.00"
161,Karlsruhe,Transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"27,375.00",€,"21,000.00","30,000.00"
163,Karlsruhe,Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",233.10,€,154.55,318.75
164,Karlsruhe,Utilities (Monthly),1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.10,€,0.09,0.10
165,Karlsruhe,Utilities (Monthly),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",35.12,€,25.00,45.00
167,Karlsruhe,Internet (60 Mbps,"Fitness Club, Monthly Fee for 1 Adult",37.14,€,26.00,45.00
168,Karlsruhe,Internet (60 Mbps,Tennis Court Rent (1 Hour on Weekend),27.67,€,18.00,45.00
169,Karlsruhe,Internet (60 Mbps,"Cinema, International Release, 1 Seat",12.00,€,9.00,15.00
171,Karlsruhe,Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",383.75,€,300.00,600.00
172,Karlsruhe,Childcare,"International Primary School, Yearly for 1 Child","8,550.00",€,"5,100.00","12,000.00"
174,Karlsruhe,Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),90.50,€,60.00,100.00
175,Karlsruhe,Clothing And Shoes,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",42.00,€,15.00,70.00
176,Karlsruhe,Clothing And Shoes,1 Pair of Nike Running Shoes (Mid-Range),90.00,€,70.00,100.00
177,Karlsruhe,Clothing And Shoes,1 Pair of Men Leather Business Shoes,133.75,€,120.00,150.00
179,Karlsruhe,Rent Per Month,Apartment (1 bedroom) in City Centre,800.00,€,650.00,"1,000.00"
180,Karlsruhe,Rent Per Month,Apartment (1 bedroom) Outside of Centre,700.00,€,550.00,900.00
181,Karlsruhe,Rent Per Month,Apartment (3 bedrooms) in City Centre,"1,384.29",€,"1,100.00","1,600.00"
182,Karlsruhe,Rent Per Month,Apartment (3 bedrooms) Outside of Centre,"1,228.57",€,"1,000.00","1,500.00"
184,Karlsruhe,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment in City Centre,"4,750.00",€,"4,500.00","5,000.00"
185,Karlsruhe,Apartment (3 bedrooms),Price per Square Meter to Buy Apartment Outside of Centre,"4,066.67",€,"3,900.00","4,200.00"
187,Heidelberg,Restaurants,"Meal, Inexpensive Restaurant",15.00,€,10.00,20.00
188,Heidelberg,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",60.00,€,45.00,80.00
189,Heidelberg,Restaurants,McMeal at McDonalds (or Equivalent Combo Meal),10.00,€,9.00,12.00
190,Heidelberg,Restaurants,Domestic Beer (0.5 liter draught),4.00,€,2.00,5.00
191,Heidelberg,Restaurants,Imported Beer (0.33 liter bottle),3.30,€,3.00,4.50
192,Heidelberg,Restaurants,Cappuccino (regular),3.01,€,2.00,4.00
193,Heidelberg,Restaurants,Coke/Pepsi (0.33 liter bottle),2.39,€,2.00,4.00
194,Heidelberg,Restaurants,Water (0.33 liter bottle),2.22,€,1.50,4.00
196,Heidelberg,Markets,"Milk (regular), (1 liter)",1.06,€,0.80,1.20
197,Heidelberg,Markets,Loaf of Fresh White Bread (500g),2.23,€,1.00,3.50
198,Heidelberg,Markets,"Rice (white), (1kg)",2.12,€,1.00,4.00
199,Heidelberg,Markets,Eggs (regular) (12),3.02,€,1.67,4.80
200,Heidelberg,Markets,Local Cheese (1kg),9.74,€,7.00,12.40
201,Heidelberg,Markets,Chicken Fillets (1kg),7.79,€,3.00,10.00
202,Heidelberg,Markets,Beef Round (1kg) (or Equivalent Back Leg Red Meat),16.87,€,10.00,39.00
203,Heidelberg,Markets,Apples (1kg),2.87,€,1.50,3.50
204,Heidelberg,Markets,Banana (1kg),1.70,€,1.10,3.00
205,Heidelberg,Markets,Oranges (1kg),2.08,€,1.50,5.99
206,Heidelberg,Markets,Tomato (1kg),1.32,€,0.79,2.50
